topic,sub_topic,type,title,link,level
Machine Learning,Introduction,Video,What is Machine Learning?,https://youtu.be/example1,Beginner
Machine Learning,Types of ML,Blog,Understanding Types of ML,https://example.com/ml-types,Beginner
Machine Learning,Applications of ML,Blog,Real-World Applications of ML,https://example.com/ml-applications,Beginner
Machine Learning,Linear Algebra Basics,Video,Linear Algebra for ML,https://youtu.be/example2,Beginner
Machine Learning,Probability Basics,Blog,Probability for Machine Learning,https://example.com/probability-basics,Intermediate
Machine Learning,Data Cleaning,Video,Data Cleaning in Python,https://youtu.be/example3,Beginner
Machine Learning,Feature Scaling,Blog,Scaling Features in ML,https://example.com/feature-scaling,Intermediate
Machine Learning,Handling Missing Data,Blog,Techniques for Missing Data,https://example.com/missing-data,Intermediate
Machine Learning,Linear Regression,Video,Linear Regression Explained,https://youtu.be/example4,Beginner
Machine Learning,Logistic Regression,Blog,Logistic Regression in ML,https://example.com/logistic-regression,Beginner
Machine Learning,Decision Trees,Video,Introduction to Decision Trees,https://youtu.be/example5,Intermediate
Machine Learning,Support Vector Machines (SVM),Paper,Support Vector Machines (SVM),https://research.example.com/svm,Advanced
Machine Learning,K-Means Clustering,Video,K-Means Clustering Explained,https://youtu.be/example6,Beginner
Machine Learning,PCA,Blog,Understanding PCA in ML,https://example.com/pca,Intermediate
Machine Learning,Hierarchical Clustering,Video,Hierarchical Clustering in ML,https://youtu.be/example7,Intermediate
Machine Learning,Neural Networks Basics,Video,Introduction to Neural Networks,https://youtu.be/example8,Beginner
Machine Learning,CNN,Blog,What are CNNs?,https://example.com/cnn,Intermediate
Machine Learning,RNN,Paper,Understanding RNNs,https://research.example.com/rnn,Advanced
Machine Learning,NLP Basics,Video,Natural Language Processing,https://youtu.be/example9,Beginner
Machine Learning,Computer Vision Basics,Blog,Intro to Computer Vision,https://example.com/computer-vision,Intermediate
Machine Learning,Reinforcement Learning,Paper,Reinforcement Learning Overview,https://research.example.com/rl,Advanced
Python Programming,Introduction,Video,Python for Beginners,https://youtu.be/example10,Beginner
Python Programming,Data Structures,Blog,Understanding Python Data Structures,https://example.com/python-ds,Beginner
Python Programming,OOP in Python,Blog,Object-Oriented Programming in Python,https://example.com/oop-python,Intermediate
Deep Learning,Introduction,Video,Deep Learning Explained,https://youtu.be/example11,Beginner
Deep Learning,GANs,Paper,Generative Adversarial Networks,https://research.example.com/gans,Advanced
Deep Learning,Transformers,Blog,Understanding Transformers,https://example.com/transformers,Advanced
Cybersecurity,Introduction,Video,Cybersecurity Basics,https://youtu.be/example12,Beginner
Cybersecurity,Cryptography,Blog,Introduction to Cryptography,https://example.com/cryptography,Intermediate
Data Science,Exploratory Data Analysis,Video,EDA with Python,https://youtu.be/example13,Beginner
Data Science,Data Visualization,Blog,Data Visualization Techniques,https://example.com/data-viz,Intermediate
Java,Introduction,Video,Java Tutorial for Beginners - Full Course,https://www.youtube.com/watch?v=eIrMbAQSU34,Beginner
Java,Introduction,Blog,Java Basics Explained for Beginners,https://www.javatpoint.com/java-tutorial,Beginner
Java,Introduction,Video,Learn Java in 14 Minutes (seriously),https://www.youtube.com/watch?v=RRubcjpTkks,Beginner
Java,Object-Oriented Programming (OOP),Video,Object-Oriented Programming Concepts in Java,https://www.youtube.com/watch?v=UmnCZ7-9yDY,Beginner
Java,Object-Oriented Programming (OOP),Blog,Mastering OOP Concepts in Java,https://www.geeksforgeeks.org/object-oriented-programming-oops-concept-in-java/,Intermediate
Java,Object-Oriented Programming (OOP),Video,Java OOP Concepts Simplified,https://www.youtube.com/watch?v=Uo8u2XQUpk8,Intermediate
Java,Data Structures,Video,Java Data Structures Full Course,https://www.youtube.com/watch?v=bum_19loj9A,Intermediate
Java,Data Structures,Blog,Data Structures in Java - GeeksforGeeks,https://www.geeksforgeeks.org/data-structures/,Intermediate
Java,Data Structures,Research Paper,Efficient Data Structures in Java,https://arxiv.org/pdf/1502.06182.pdf,Advanced
Java,Multithreading,Video,Java Multithreading Tutorial,https://www.youtube.com/watch?v=mtO6SYp7k4I,Intermediate
Java,Multithreading,Blog,Understanding Java Multithreading,https://www.journaldev.com/1037/java-thread-example,Intermediate
Java,Multithreading,Research Paper,Concurrency Models in Java,https://pdfs.semanticscholar.org/04d1/3e75ad1ed7e9a60f7ce24954915a43a44b90.pdf,Advanced
Java,Streams & Collections,Video,Java Streams & Collections Tutorial,https://www.youtube.com/watch?v=t1-YZ6bF-g0,Intermediate
Java,Streams & Collections,Blog,Java Streams Guide,https://www.baeldung.com/java-8-streams,Intermediate
Java,Streams & Collections,Research Paper,Efficient Stream Processing in Java,https://www.researchgate.net/publication/323589019_Java_Stream_API_A_Comparative_Study,Advanced
Java,Java 8 & Functional Programming,Video,Java 8 New Features,https://www.youtube.com/watch?v=1OpAgZvYXLQ,Intermediate
Java,Java 8 & Functional Programming,Blog,Functional Programming in Java 8,https://www.baeldung.com/java-functional-programming,Intermediate
Java,Java 8 & Functional Programming,Research Paper,Functional Programming and Java 8,https://pdfs.semanticscholar.org/f71e/6228fca39b61bf4b77dae1f21a196ee83fed.pdf,Advanced
Java,Spring Boot,Video,Spring Boot Tutorial for Beginners,https://www.youtube.com/watch?v=9SGDpanrc8U,Intermediate
Java,Spring Boot,Blog,Getting Started with Spring Boot,https://spring.io/guides/gs/spring-boot/,Intermediate
Java,Spring Boot,Research Paper,Microservices with Spring Boot,https://arxiv.org/pdf/1910.09352.pdf,Advanced
Java,Advanced Java Concepts,Video,Advanced Java Full Course,https://www.youtube.com/watch?v=09CRkqIz2-Y,Advanced
Java,Advanced Java Concepts,Blog,Advanced Java Programming Guide,https://www.geeksforgeeks.org/advanced-java/,Advanced
Java,Advanced Java Concepts,Research Paper,Performance Optimization in Java,https://pdfs.semanticscholar.org/92b3/3c31779042f2f1c4afb77540182c212343f5.pdf,Advanced
Java,JavaFX,Video,JavaFX Crash Course,https://www.youtube.com/watch?v=9XJicRt_FaI,Intermediate
Java,JavaFX,Blog,Building GUI Applications with JavaFX,https://openjfx.io/openjfx-docs/,Intermediate
Java,JavaFX,Research Paper,Rich Client Development with JavaFX,https://pdfs.semanticscholar.org/6b3b/41726b2dfcae6ea8657fca59093ec9bf5dc0.pdf,Advanced
Python,Introduction,Video,Python Tutorial for Beginners - Full Course [YouTube],https://www.youtube.com/watch?v=_uQrJ0TkZlc,Beginner
Python,Introduction,Blog,Learn Python - FreeCodeCamp Blog,https://www.freecodecamp.org/news/learn-python-free-python-course/,Beginner
Python,Introduction,Video,Learn Python in 1 Hour [YouTube],https://www.youtube.com/watch?v=kqtD5dpn9C8,Beginner
Python,Variables and Data Types,Video,Python Data Types Explained [YouTube],https://www.youtube.com/watch?v=khKv-8q7YmY,Beginner
Python,Variables and Data Types,Blog,Python Data Types Simplified [GeeksForGeeks],https://www.geeksforgeeks.org/python-data-types/,Beginner
Python,Control Flow (Loops & Conditions),Video,Python Loops and If Statements [YouTube],https://www.youtube.com/watch?v=6iF8Xb7Z3wQ,Beginner
Python,Control Flow (Loops & Conditions),Blog,Python Loops Explained [Programiz],https://www.programiz.com/python-programming/loop,Beginner
Python,Functions and Modules,Video,Python Functions Explained [YouTube],https://www.youtube.com/watch?v=9Os0o3wzS_I,Beginner
Python,Functions and Modules,Blog,Python Functions and Modules [RealPython],https://realpython.com/defining-your-own-python-function/,Beginner
Python,Functions and Modules,Blog,Understanding Python Modules [GeeksForGeeks],https://www.geeksforgeeks.org/python-modules/,Beginner
Python,File Handling,Video,Python File Handling Tutorial [YouTube],https://www.youtube.com/watch?v=Uh2ebFW8OYM,Intermediate
Python,File Handling,Blog,File Handling in Python [GeeksForGeeks],https://www.geeksforgeeks.org/file-handling-python/,Intermediate
Python,OOP (Object Oriented Programming),Video,Python OOP Tutorial [YouTube],https://www.youtube.com/watch?v=JeznW_7DlB0,Intermediate
Python,OOP (Object Oriented Programming),Blog,Python Classes and Objects [Programiz],https://www.programiz.com/python-programming/class,Intermediate
Python,OOP (Object Oriented Programming),Blog,OOP Concepts in Python [GeeksForGeeks],https://www.geeksforgeeks.org/python-oops-concepts/,Intermediate
